response	Df	Sum.Sq	Mean.Sq	F.value	Pr..F.
mating_system	2	0.0104	0.0052	6.2912	0.0023
longevity2	2	0.0045	0.0023	2.749	0.0667
marker_density	1	0.0041	0.0041	4.9068	0.028
Residuals	176	0.1454	8e-04	NA	NA
Parameter	coefficients.Estimate	coefficients.Std..Error	coefficients.t.value	coefficients.Pr...t..
(Intercept)	-0.1165694	0.2400593	-0.4855858	0.6278648
mating_systemMixed	0.1591461	0.0866981	1.8356343	0.0680993
mating_systemSelfing	0.1895986	0.0947371	2.0013129	0.0468952
longevity2Medium	-0.2168915	0.1002449	-2.1636161	0.031842
longevity2Short	-0.0525574	0.1048511	-0.5012577	0.6168161
marker_density	0.0113625	0.0051295	2.2151272	0.0280346
response	Df	Sum.Sq	Mean.Sq	F.value	Pr..F.
mating_system	2	0.0074	0.0037	5.0333	0.0075
longevity2	2	0.0049	0.0025	3.3593	0.0371
n_progeny	1	2e-04	2e-04	0.2778	0.5989
Residuals	170	0.1252	7e-04	NA	NA
Parameter	coefficients.Estimate	coefficients.Std..Error	coefficients.t.value	coefficients.Pr...t..
(Intercept)	-0.0839212	0.2095777	-0.4004298	0.6893428
mating_systemMixed	0.1549927	0.0884313	1.7526892	0.0814581
mating_systemSelfing	0.1865947	0.0994355	1.8765396	0.0622949
longevity2Medium	-0.2354447	0.0984697	-2.3910372	0.0178933
longevity2Short	-0.0700409	0.1034509	-0.6770446	0.4992979
n_progeny	4.33e-05	8.22e-05	0.5270422	0.5988514
